timestamp,open,high,low,close,volume
2020-02-24,297.2600,304.1800,289.2300,298.1800,55037599
2020-02-21,318.6200,320.4500,310.5000,313.0500,32426415
2020-02-20,322.6300,324.6500,318.2100,320.3000,25141489
2020-02-19,320.0000,324.5700,320.0000,323.6200,23495991
2020-02-18,315.3600,319.7500,314.6100,319.0000,38190545
2020-02-14,324.7300,325.9800,322.8500,324.9500,20028447
2020-02-13,324.1900,326.2200,323.3500,324.8700,23686892
2020-02-12,321.4700,327.2200,321.4700,327.2000,28432573
2020-02-11,323.6000,323.9000,318.7100,319.6100,23580780
2020-02-10,314.1800,321.5500,313.8500,321.5500,27337215
2020-02-07,322.3700,323.4000,318.0000,320.0300,29421012
2020-02-06,322.5700,325.2200,320.2648,325.2100,26356385
2020-02-05,323.5200,324.7600,318.9500,321.4500,29706718
2020-02-04,315.3100,319.6400,313.6345,318.8500,34154134
2020-02-03,304.3000,313.4900,302.2200,308.6600,43496401
2020-01-31,320.9300,322.6800,308.2900,309.5100,49897096
2020-01-30,320.5435,324.0900,318.7500,323.8700,31685808
2020-01-29,324.4500,327.8500,321.3800,324.3400,54149928
2020-01-28,312.6000,318.4000,312.1900,317.6900,40558486
2020-01-27,310.0600,311.7700,304.8800,308.9500,40485005
2020-01-24,320.2500,323.3300,317.5188,318.3100,36634380
2020-01-23,317.9200,319.5600,315.6500,319.2300,26117993
2020-01-22,318.5800,319.9900,317.3100,317.7000,25458115
2020-01-21,317.1900,319.0200,316.0000,316.5700,27235039
2020-01-17,316.2700,318.7400,315.0000,318.7300,34454117
2020-01-16,313.5900,315.7000,312.0900,315.2400,27207254
2020-01-15,311.8500,315.5000,309.5500,311.3400,30480882
2020-01-14,316.7000,317.5700,312.1700,312.6800,40653457
2020-01-13,311.6400,317.0700,311.1500,316.9600,30028742
2020-01-10,310.6000,312.6700,308.2500,310.3300,35217272
2020-01-09,307.2350,310.4300,306.2000,309.6300,42621542
2020-01-08,297.1600,304.4399,297.1560,303.1900,33090946
2020-01-07,299.8400,300.9000,297.4800,298.3900,27877655
2020-01-06,293.7900,299.9600,292.7500,299.8000,29644644
